Tensión (MPa),Deformación (%),Dureza Brinell,Dureza Rockwell,Dureza Vickers,Tenacidad (MJ/m3),Módulo de Young (GPa),Límite elástico (MPa),Carga máxima (kN),Fuerza de fractura (kN),Alargamiento (%),Reducción de área (%),Velocidad de ensayo (mm/min),Espesor (mm),Diámetro (mm),Ancho de muestra (mm),Altura de muestra (mm),Temperatura (°C),Tiempo de ensayo (s),Peso (kg),Energía absorbida (J),Fatiga (ciclos),Coef. de fricción,Conductividad térmica (W/mK),Densidad (g/cm3),Calor específico (J/kgK),Resistencia a la tracción (MPa),Índice de resiliencia,Viscosidad (Pa·s),Índice de impacto,Índice de fluencia,Presión de trabajo (MPa),Presión de rotura (MPa),Tiempo hasta falla (h),Índice de rigidez,Índice de elasticidad,Índice de eficiencia,Índice de fatiga,Índice de absorción,Índice de desgaste,Índice térmico,Coef. de expansión,Índice de conductividad,Índice de resistencia al corte,Carga de pandeo (N),Torque máximo (Nm),Índice de eficiencia térmica,Índice de módulo de rotura,Coef. de seguridad
607.58,37.1,198.18,199.07,671.3,302.84,623.18,666.74,353.54,348.3,5.44,272.99,502.45,305.0,419.05,645.48,459.88,516.36,507.83,931.54,785.47,309.1,55.4,223.38,957.33,537.61,612.15,853.74,998.93,726.74,631.68,311.65,414.58,135.89,139.44,824.92,993.55,168.69,702.22,216.69,450.78,696.76,924.12,386.55,825.31,898.78,617.16,149.44,169.24
170.61,596.31,565.37,418.39,270.72,532.52,356.13,284.36,642.25,710.24,984.87,2.55,338.75,360.13,814.81,947.53,210.26,444.88,625.9,554.94,112.59,844.09,591.73,272.03,177.25,698.32,876.16,66.75,774.03,211.66,90.54,911.77,969.94,720.74,399.04,76.09,565.22,479.88,772.23,484.2,842.98,361.99,202.68,910.6,553.75,949.59,939.9,135.62,341.64
65.15,230.09,463.99,750.96,81.32,564.46,788.94,585.82,245.71,363.96,877.84,415.77,757.04,420.6,888.19,41.37,865.43,338.95,700.54,926.95,724.26,217.46,681.31,146.51,145.19,630.67,527.09,389.51,484.38,468.81,971.36,402.7,626.92,690.2,283.22,561.4,1.97,865.29,123.38,323.22,87.88,78.42,413.4,185.78,85.24,106.25,840.69,122.18,491.44
948.89,120.65,972.01,101.46,992.58,600.62,233.77,586.81,109.37,833.29,895.12,728.34,543.94,98.96,244.89,918.86,417.88,848.15,253.16,333.9,385.72,14.9,985.8,410.37,421.14,941.65,89.96,669.68,10.27,653.59,632.43,634.14,415.89,690.28,9.78,400.18,933.09,355.95,224.12,924.04,594.66,935.04,732.34,813.96,364.44,488.09,943.25,359.37,925.72
965.64,77.05,608.57,277.92,156.29,166.34,639.24,445.79,794.4,454.33,659.28,798.79,876.86,42.46,574.41,609.12,750.34,483.56,809.6,327.85,73.47,268.58,942.6,75.27,49.81,795.63,463.34,106.52,697.52,539.54,985.9,424.24,802.82,935.43,284.59,806.47,234.97,768.62,575.57,440.13,578.26,589.9,705.23,545.9,86.52,165.33,966.11,489.46,906.97
808.42,696.32,349.57,276.39,988.42,379.8,235.76,836.14,99.06,719.59,344.85,945.2,543.59,673.98,768.39,807.33,548.08,832.74,950.33,400.71,812.75,191.13,712.48,750.05,654.94,557.12,822.05,488.95,389.42,608.37,338.96,427.71,295.4,728.22,379.65,55.12,688.56,676.07,857.22,410.21,425.27,753.54,965.6,329.65,311.35,600.4,440.86,461.66,871.88
304.68,339.94,114.18,432.08,977.28,617.23,713.69,265.04,271.45,107.54,893.66,608.54,238.34,537.38,288.9,383.94,381.93,105.31,465.29,706.07,579.67,508.34,521.84,787.74,77.59,214.76,194.18,442.73,633.02,546.26,971.21,546.68,265.87,301.64,92.31,197.21,515.13,638.7,892.13,625.9,829.79,240.46,190.98,84.45,258.87,232.82,487.96,257.12,222.6
97.76,724.79,151.33,980.37,793.84,969.82,873.69,448.69,855.12,846.13,291.59,254.7,851.11,444.2,409.07,471.9,809.9,141.11,701.1,565.85,235.84,203.78,161.61,574.31,58.12,450.93,91.31,216.12,606.73,199.31,145.65,355.99,656.58,353.47,566.53,489.25,325.5,845.03,831.93,81.21,942.9,761.56,16.62,171.39,388.62,770.65,281.69,622.02,729.7
684.26,65.45,225.39,67.6,659.46,727.66,126.89,537.74,346.53,735.74,562.76,924.16,557.26,634.48,524.02,868.86,584.51,977.32,737.05,925.36,894.69,763.21,384.24,89.8,485.24,693.41,329.5,300.34,480.88,410.26,40.79,792.76,390.55,391.17,383.23,157.73,282.71,14.27,43.49,756.76,465.39,828.49,322.39,862.88,837.29,644.04,508.48,338.34,383.55
440.21,315.36,251.04,518.75,577.85,922.61,866.61,663.66,973.05,211.8,99.82,775.34,206.92,827.7,134.96,414.91,390.62,587.81,662.28,25.54,45.35,241.45,585.16,890.09,957.79,837.98,388.96,967.12,944.39,532.03,33.08,633.68,136.0,30.91,46.56,692.75,928.77,929.16,820.9,768.42,456.2,430.89,149.78,606.93,150.46,571.65,150.8,366.15,931.19
122.13,539.54,850.63,179.45,866.11,762.24,593.62,783.99,979.74,145.37,921.96,574.47,623.55,427.75,26.08,534.71,109.69,509.82,547.16,708.23,201.9,707.0,725.23,965.64,426.85,959.74,306.33,288.72,23.24,780.08,464.92,689.79,67.06,913.52,704.01,820.79,911.93,829.24,899.1,474.08,502.11,572.0,548.51,237.17,306.13,825.24,671.46,105.62,214.61
495.23,790.74,561.27,970.68,289.51,591.76,127.2,394.87,268.35,316.36,140.86,695.67,357.78,641.16,152.89,20.29,895.46,523.2,881.66,330.39,752.07,578.51,635.44,202.44,356.55,605.49,135.33,213.5,712.16,653.94,83.1,231.11,787.86,73.65,729.31,704.55,513.18,937.87,56.84,955.7,723.15,971.88,898.79,495.9,261.19,500.32,25.03,592.27,141.34
34.49,318.82,523.44,113.39,467.73,192.1,427.6,646.08,41.07,976.07,224.97,924.32,844.42,953.58,626.89,158.68,35.57,215.35,448.98,180.32,709.41,986.25,714.15,704.67,997.96,526.97,250.91,536.26,409.9,426.65,512.22,969.58,675.94,699.82,834.49,440.34,258.57,793.61,416.34,579.38,668.09,846.74,688.26,107.93,296.21,269.92,235.7,655.31,842.4
909.33,625.93,114.86,403.66,619.43,666.72,160.94,150.7,705.09,256.91,558.18,712.42,453.35,839.64,73.71,641.72,863.2,718.73,61.2,510.44,289.34,999.9,429.21,841.95,532.02,17.79,682.31,670.99,713.82,974.4,327.57,660.21,411.86,730.19,485.59,878.4,102.43,878.6,536.66,695.27,222.91,444.91,135.89,98.93,360.69,620.74,208.15,757.97,716.94
258.85,885.99,860.15,737.91,411.25,623.42,700.38,932.65,451.04,456.18,764.12,368.44,726.47,426.06,189.78,717.01,360.03,84.87,844.57,505.11,62.12,869.54,727.65,539.89,375.3,72.19,385.99,725.12,675.25,107.88,335.7,197.28,896.24,843.73,968.66,137.77,156.66,203.16,232.83,924.35,63.99,664.61,116.18,907.77,244.39,957.07,937.9,904.02,821.44
662.56,615.9,722.84,704.58,427.54,602.51,758.89,383.12,100.84,30.12,619.39,713.06,95.63,644.75,337.92,582.64,639.37,573.37,674.01,137.1,858.09,760.01,143.83,323.39,385.92,156.19,632.59,754.27,10.34,206.88,635.65,750.52,410.92,553.41,914.07,260.41,522.3,319.3,516.73,666.38,949.26,784.25,911.46,457.91,942.59,601.2,144.99,766.03,158.03
311.78,233.04,67.76,422.79,330.35,489.84,105.89,729.55,707.55,397.29,232.21,40.37,396.08,177.15,77.96,143.4,922.21,570.81,849.27,201.98,313.77,386.52,162.67,478.61,195.04,54.85,536.35,36.93,285.41,341.38,163.18,173.8,710.32,725.29,551.4,489.59,307.9,315.29,885.97,431.88,261.14,24.43,487.66,361.63,420.16,629.66,890.79,235.82,884.8
520.12,24.5,707.86,346.59,564.28,528.7,506.19,20.44,31.27,571.36,1.04,386.48,983.24,560.57,191.78,445.46,151.79,914.2,138.63,408.22,195.79,753.3,162.92,512.32,512.27,400.92,549.1,393.82,189.17,228.65,766.58,63.48,909.12,302.79,445.01,61.43,42.16,109.26,866.96,24.87,638.63,588.41,923.68,949.08,114.2,934.76,124.45,235.73,677.65
546.76,870.11,543.58,397.67,850.59,334.51,814.64,205.27,870.21,953.13,757.17,406.38,808.48,981.33,911.28,355.16,566.99,526.23,30.85,408.87,516.11,956.68,890.88,400.7,438.91,336.94,248.62,773.98,167.07,625.48,582.07,527.6,840.73,745.61,3.13,95.78,455.22,729.61,939.84,728.33,828.46,984.53,736.24,399.06,467.71,515.32,650.73,915.1,651.6
184.94,21.37,81.82,264.35,201.61,519.36,936.17,487.13,138.74,516.78,985.21,166.92,160.02,518.36,19.4,495.71,764.46,137.15,934.38,317.63,910.24,23.48,76.13,929.85,270.87,637.39,521.59,904.86,728.5,39.65,914.95,553.57,511.15,343.48,711.02,397.5,746.21,136.26,484.16,964.87,300.35,947.19,993.35,336.31,184.51,996.36,319.95,790.15,582.63
969.59,874.71,458.35,205.41,934.44,197.64,513.57,878.26,127.4,819.13,809.93,23.18,277.84,927.65,653.47,870.34,757.61,572.8,147.81,148.63,43.64,537.96,801.53,743.91,160.62,535.71,23.69,602.24,239.63,177.52,364.9,189.05,680.67,902.85,565.0,943.89,891.71,52.6,410.63,470.29,635.47,832.46,871.24,273.06,216.21,159.75,316.07,782.27,764.9
775.16,528.98,484.75,483.09,689.12,805.19,950.28,527.3,175.75,547.17,460.26,133.47,329.88,407.39,384.47,775.88,525.68,91.42,809.67,4.47,765.83,218.08,233.65,241.38,311.31,596.01,431.8,52.4,474.79,293.42,982.72,348.44,413.72,163.47,937.55,908.42,585.33,775.47,665.82,339.83,107.99,106.3,414.27,565.11,285.11,537.09,998.27,719.74,415.67
939.5,939.07,165.86,268.61,823.29,185.86,535.74,929.88,960.27,40.88,903.78,654.66,650.4,998.84,672.68,84.08,624.78,203.87,823.23,970.24,572.52,557.92,468.48,585.6,508.73,472.03,572.67,396.71,247.06,683.38,575.87,945.77,647.23,315.83,594.27,466.03,723.32,904.67,416.82,519.31,969.93,994.04,758.25,558.45,124.85,212.98,226.12,267.28,132.91
894.84,798.8,945.7,287.53,556.24,85.06,394.25,483.85,693.2,315.08,409.91,802.31,757.02,579.26,588.73,890.32,757.55,31.21,708.73,943.5,425.51,466.5,915.96,688.72,58.43,277.81,182.08,74.32,580.28,875.88,973.4,285.07,257.63,498.82,992.86,142.24,364.13,764.15,42.04,728.46,58.25,609.58,471.28,16.29,721.15,453.38,202.64,847.43,539.31
597.94,997.93,849.99,656.79,779.54,436.3,848.22,490.5,801.39,575.59,524.98,988.2,749.55,42.36,223.58,471.82,841.04,513.34,131.35,483.7,744.11,575.81,585.98,140.24,153.83,952.83,256.63,748.56,720.6,798.51,27.16,155.65,434.8,775.87,853.83,178.19,496.29,825.37,719.95,0.79,438.23,222.99,233.15,654.1,791.97,170.66,589.38,142.97,748.13
921.88,350.78,669.06,968.54,16.3,658.34,493.03,119.83,397.7,950.6,477.18,346.43,509.92,586.8,847.22,743.89,761.84,84.62,667.43,995.05,965.83,551.01,210.2,358.49,947.66,86.5,219.61,63.6,331.14,182.16,728.0,992.56,209.62,748.82,953.6,377.61,729.65,595.66,281.06,887.22,536.87,674.3,241.11,788.33,394.35,222.61,740.78,350.08,153.73
88.58,767.21,462.35,603.68,818.4,437.77,471.96,802.68,336.38,859.14,447.68,599.42,810.84,274.65,491.99,140.13,354.07,469.45,889.1,673.69,229.28,960.11,284.16,905.56,542.9,938.9,70.65,185.81,603.06,565.45,816.64,302.38,38.28,210.8,327.73,210.15,727.69,887.76,49.18,886.37,790.5,856.54,397.38,616.0,689.02,210.88,982.51,346.54,224.1
196.06,401.99,411.82,77.07,40.23,276.83,490.36,247.04,234.56,228.43,775.21,937.15,437.13,32.58,822.55,670.75,996.73,932.95,425.59,68.95,143.73,552.23,920.45,567.22,63.54,311.31,347.92,417.02,824.87,30.12,53.27,680.29,588.58,144.32,149.42,83.07,424.58,496.75,20.72,541.34,121.22,112.42,111.56,869.9,389.02,320.1,701.44,560.18,696.58
45.32,479.93,651.01,75.68,889.92,558.22,846.8,899.62,480.7,220.19,526.82,167.13,123.97,820.87,406.07,236.4,434.56,719.79,413.58,117.81,912.89,846.25,427.2,217.08,693.12,512.71,978.97,462.7,94.31,310.61,579.01,231.64,864.44,304.04,796.89,673.81,543.71,988.32,931.37,122.47,440.86,916.45,177.85,276.49,164.16,134.69,561.91,463.5,269.72
325.4,627.54,545.48,951.43,991.96,347.07,831.96,910.83,551.87,201.25,316.79,717.67,564.49,275.8,984.69,438.44,24.56,77.5,442.91,916.12,668.99,319.89,587.03,122.87,61.9,108.93,353.95,406.54,710.7,806.0,801.96,550.17,25.68,483.81,786.22,581.49,923.86,103.5,252.15,671.84,299.78,920.21,500.66,192.06,397.23,809.36,409.19,459.86,170.02
388.74,873.69,62.37,297.36,294.14,932.87,403.58,943.32,631.81,922.51,258.23,755.0,952.31,796.57,770.51,16.96,362.68,224.29,82.36,630.09,438.04,438.16,459.99,518.28,738.9,71.02,460.59,463.45,323.21,456.72,561.08,386.34,196.11,539.05,211.53,291.37,632.03,809.2,447.95,137.93,312.08,13.56,953.93,697.31,557.03,220.75,595.15,553.62,889.4
271.42,984.09,512.55,92.16,210.4,922.65,333.37,520.28,257.19,852.68,37.84,89.07,793.01,288.29,965.95,151.7,127.87,673.7,892.04,843.2,573.3,470.47,378.5,547.73,749.99,429.6,653.12,713.27,122.74,150.03,63.91,961.58,460.24,429.19,764.77,778.97,642.61,641.43,950.58,507.6,778.81,900.33,577.73,188.64,41.09,416.63,600.87,415.48,160.98
828.75,768.3,806.42,599.08,765.39,502.42,491.98,677.13,948.66,774.91,583.24,861.26,578.74,194.41,514.38,92.17,121.53,894.71,869.2,898.28,745.64,278.8,223.36,334.48,651.11,741.72,648.53,369.33,545.7,438.61,693.48,432.86,665.93,663.12,582.02,775.97,784.64,580.69,467.57,93.72,5.56,946.82,408.56,91.2,654.52,16.16,217.79,250.06,344.21
356.82,417.83,459.29,623.69,253.1,327.95,572.82,778.54,169.84,392.8,230.04,813.12,646.84,973.94,473.74,239.82,281.61,33.02,997.91,448.0,773.05,379.85,686.22,630.45,732.23,269.44,949.9,547.8,226.34,198.11,60.69,584.22,171.31,427.62,109.61,491.05,115.31,725.84,78.7,589.11,749.11,37.79,242.78,96.71,742.63,104.97,671.24,664.15,428.49
281.01,421.41,52.05,648.54,865.58,737.16,238.41,131.1,965.66,504.43,148.22,33.5,930.57,361.71,755.48,100.11,53.47,812.47,585.22,48.62,919.9,598.55,718.27,68.78,88.06,562.39,857.58,303.44,821.38,393.25,817.49,944.77,56.79,946.33,501.83,96.62,522.93,840.31,551.98,318.14,810.42,294.24,195.98,768.42,859.98,896.28,204.5,790.65,476.19
542.74,737.61,786.3,267.48,102.93,36.81,793.98,601.0,14.95,464.39,653.86,91.18,428.4,601.42,880.3,691.94,688.54,561.86,751.22,188.36,426.9,580.23,274.96,145.23,726.81,278.72,793.97,353.69,42.99,487.88,43.13,989.24,519.1,261.04,931.14,918.48,959.44,862.9,88.29,831.01,901.37,373.17,658.44,28.83,102.86,837.18,490.01,479.05,361.37
